,SITE,B/L Number,B/L Weight (LB),Freight Amount ($),Truck Appt. Time,State,Ship to City,Ship to Customer,Order Number,Order Item,CSR,Freight Term,Unshipped Weight (Lb),Product Code,Pick Weight (Lb),Number of Pallet,Pickup By,Carrier ID,Arrange By,Unit Freight (cent/Lb),Waybill Number,Sales Code,Transportation Code,Transaction Type,Product Group,report_run,report_hour,report_date,Truck Appointment Date,PickUp Date,Require Date,Schedule Date,Change Date,file_name,index,City,Latitude,Longitude
10,AMAZ,WZ2A502,23192.0,0.0,,CA,CORONA,TRM MANUFACTURING,W42A502,1.0,JZU,P,23209.8,PSB0301501968AM-126P,22746.0,51,CMHQAA6A,,,0.0,,8SW,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-02-27,2024-03-15,2024-03-15,2024-02-27,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,17.0,CORONA,33.8752935,-117.5664384
11,AMAZ,WZ2A545,3628.0,0.0,,CA,WALNUT,TMV PACKAGING,W42A545,3.0,JZU,P,1066.8,HLP115400450AM-64,1068.0,1,CMHQAA6A,,,0.0,,SWJV,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-02-26,2024-02-29,2024-03-08,2024-02-27,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,8.0,WALNUT,34.0202894,-117.8653386
12,AMAZ,WZ2A545,3628.0,0.0,,CA,WALNUT,TMV PACKAGING,W42A545,3.0,JZU,P,1066.8,HLP115400450AM-64,1068.0,1,CMHQAA6A,,,0.0,,SWJV,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-02-26,2024-02-29,2024-03-08,2024-02-27,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,18.0,WALNUT,34.0202894,-117.8653386
13,AMAZ,WZ2A545,3628.0,0.0,,CA,WALNUT,TMV PACKAGING,W42A545,10.0,JZU,P,2560.0,EPB0802005000AM-40,2560.0,2,CMHQAA6A,,,0.0,,SWJV,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-03-04,2024-02-29,2024-03-08,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,8.0,WALNUT,34.0202894,-117.8653386
14,AMAZ,WZ2A545,3628.0,0.0,,CA,WALNUT,TMV PACKAGING,W42A545,10.0,JZU,P,2560.0,EPB0802005000AM-40,2560.0,2,CMHQAA6A,,,0.0,,SWJV,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-03-04,2024-02-29,2024-03-08,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,18.0,WALNUT,34.0202894,-117.8653386
15,AMAZ,WZ2A567,2845.0,0.0,,UT,ST GEORGE,FLEXPAK ST. GEORGE,W42A567,1.0,SV,P,1103.2,EHB0701975000AM-40,1103.0,1,IPAMMK0M,,,0.0,,SWCK,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-03-04,2024-03-28,2024-03-28,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,,,,
16,AMAZ,WZ2A567,2845.0,0.0,,UT,ST GEORGE,FLEXPAK ST. GEORGE,W42A567,3.0,SV,P,3483.64,HSB0631801500AM-64,1742.0,1,IPAMMK0M,,,0.0,,SWCK,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-03-04,2024-03-28,2024-03-28,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,,,,
17,AMAZ,WZ2A637,13392.0,0.0,,CA,RIVERSIDE,"RONICO TRANSPORT, INC",W42A637,1.0,PY,P,19341.5,PSB0301501476P290-280P,13392.0,18,CMHQAAAD,,,0.0,,SWKC,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-03-04,2024-03-12,2024-03-12,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,,,,
18,AMAZ,WZ2B126,33936.0,0.0,,CA,VISALIA,ALLIED PACKAGING / GOSHEN,W42B126,1.0,SV,P,14542.84,ELB0602004208A372-60,14544.0,12,IPAMMK0M,,,0.0,,SWCK,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-02-28,2024-03-11,2024-03-11,2024-02-28,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,21.0,VISALIA,36.3301329,-119.2966367
19,AMAZ,WZ2B126,33936.0,0.0,,CA,VISALIA,ALLIED PACKAGING / GOSHEN,W42B126,2.0,SV,P,19390.46,ELB0602004208A372-60S3,19392.0,16,IPAMMK0M,,,0.0,,SWCK,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-02-28,2024-03-11,2024-03-11,2024-02-28,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,21.0,VISALIA,36.3301329,-119.2966367
20,AMAZ,WZ2B130,9696.0,0.0,,UT,OGDEN,ARDENT MILLS F AVE.,W42B130,1.0,SV,P,4847.61,ELB0602004208A372-60,4848.0,4,IPAMMK0M,,,0.0,,SWCK,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-02-26,2024-03-11,2024-03-11,2024-02-26,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,22.0,OGDEN,41.223,-111.9738304
21,AMAZ,WZ2B130,9696.0,0.0,,UT,OGDEN,ARDENT MILLS F AVE.,W42B130,2.0,SV,P,4847.61,ELB0602004208A372-60S3,4848.0,4,IPAMMK0M,,,0.0,,SWCK,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-02-26,2024-03-11,2024-03-11,2024-02-27,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,22.0,OGDEN,41.223,-111.9738304
22,AMAZ,WZ3A021,1418.0,0.0,,CA,RANCHO CORDOVA,SUNRISE MANUFACTURING,W43A021,1.0,EV,P,1418.4,EHB0901975000AM-40,1418.0,1,IPAMMK0F,,,0.0,,SWBE,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-03-04,2024-03-15,2024-03-25,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,29.0,RANCHO CORDOVA,38.5890723,-121.302728
23,AMAZ,W41A402,38286.0,2395.0,10:00:00,CA,WEED,"CG ROXANE, LLC",W41A402,1.0,JZU,P,38296.8,EHB0901975000AM-40,38286.0,27,AMRMT01,NEON-AM,AMAZAA13,6.26,118265574,8SW,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,2024-03-01,2024-03-01,2024-02-27,2024-02-27,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,24.0,WEED,41.4226498,-122.3861269
24,AMAZ,W41B026,8356.0,0.0,,CA,COMPTON,O'RION PLASTICS,W41B026,4.0,JZU,P,5957.28,EHB0631977500AM-40,5956.0,4,CMHQAA6A,,,0.0,,SWJV,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-02-29,2024-02-06,2024-02-24,2024-03-01,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,25.0,COMPTON,33.8958492,-118.2200712
25,AMAZ,W41B026,8356.0,0.0,,CA,COMPTON,O'RION PLASTICS,W42A225,2.0,JZU,P,2400.0,EPB0752005000AM-40,2400.0,2,CMHQAA6A,,,0.0,,SWJV,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-03-04,2024-03-14,2024-02-26,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,25.0,COMPTON,33.8958492,-118.2200712
26,AMAZ,W41B130,38718.0,0.0,,CA,RANCHO CORDOVA,SUNRISE MANUFACTURING,W41B130,6.0,EV,P,5369.0,AM1-29570,5370.0,5,IPAMMK0F,,,0.0,,SWBE,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-03-04,2024-02-12,2024-02-19,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,29.0,RANCHO CORDOVA,38.5890723,-121.302728
27,AMAZ,W41B130,38718.0,0.0,,CA,RANCHO CORDOVA,SUNRISE MANUFACTURING,W41B130,7.0,EV,P,11151.0,ELB0632957500S642-20,11150.0,10,IPAMMK0F,,,0.0,,SWBE,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-03-04,2024-02-12,2024-02-19,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,29.0,RANCHO CORDOVA,38.5890723,-121.302728
28,AMAZ,W41B130,38718.0,0.0,,CA,RANCHO CORDOVA,SUNRISE MANUFACTURING,W42A089,4.0,EV,P,12266.1,ELB0632957500S642-20,8920.0,8,IPAMMK0F,,,0.0,,SWBE,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-03-04,2024-03-01,2024-03-04,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,29.0,RANCHO CORDOVA,38.5890723,-121.302728
29,AMAZ,W41B130,38718.0,0.0,,CA,RANCHO CORDOVA,SUNRISE MANUFACTURING,W42A880,1.0,EV,P,2537.36,EHB1151973500AM-40,2538.0,2,IPAMMK0F,,,0.0,,SWBE,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-03-04,2024-03-01,2024-03-12,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,29.0,RANCHO CORDOVA,38.5890723,-121.302728
30,AMAZ,W41B130,38718.0,0.0,,CA,RANCHO CORDOVA,SUNRISE MANUFACTURING,W42A880,3.0,EV,P,10738.0,AM1-29570,10740.0,10,IPAMMK0F,,,0.0,,SWBE,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-03-04,2024-03-01,2024-03-12,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,29.0,RANCHO CORDOVA,38.5890723,-121.302728
31,AMAZ,W41B218,24724.0,0.0,,BC,PORT COQUITLAM,SYSCO VANCOUVER - 044,W41B218,1.0,JZU,P,1348.93,PSB0301701968AM-84P,1348.0,4,CMHQAA6A,,,0.0,,SWSP,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-01-30,2024-03-06,2024-02-23,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,0.0,PORT COQUITLAM,49.2628382,-122.7810708
32,AMAZ,W41B218,24724.0,0.0,,BC,PORT COQUITLAM,SYSCO VANCOUVER - 044,W41B218,1.0,JZU,P,1348.93,PSB0301701968AM-84P,1348.0,4,CMHQAA6A,,,0.0,,SWSP,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-01-30,2024-03-06,2024-02-23,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,10.0,PORT COQUITLAM,49.2628382,-122.7810708
33,AMAZ,W41B218,24724.0,0.0,,BC,PORT COQUITLAM,SYSCO VANCOUVER - 044,W41B218,2.0,JZU,P,23364.0,ELB0552956000AM-25,23376.0,24,CMHQAA6A,,,0.0,,SWSP,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-03-04,2024-03-06,2024-02-23,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,0.0,PORT COQUITLAM,49.2628382,-122.7810708
34,AMAZ,W41B218,24724.0,0.0,,BC,PORT COQUITLAM,SYSCO VANCOUVER - 044,W41B218,2.0,JZU,P,23364.0,ELB0552956000AM-25,23376.0,24,CMHQAA6A,,,0.0,,SWSP,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-03-04,2024-03-06,2024-02-23,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,10.0,PORT COQUITLAM,49.2628382,-122.7810708
35,AMAZ,W41C197,20275.0,0.0,,CA,FULLERTON,MLR PACKAGING SUPPLY AND EQUIPMENT,W41B197,5.0,JUS,P,10240.0,EPB0802005000AM-40,10240.0,8,CMHQAA7T,,,0.0,,SWJV,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-03-04,2024-02-20,2024-03-01,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,,,,
36,AMAZ,W41C197,20275.0,0.0,,CA,FULLERTON,MLR PACKAGING SUPPLY AND EQUIPMENT,W41B197,6.0,JUS,P,10035.9,EHB0632957500AM-20,10035.0,9,CMHQAA7T,,,0.0,,SWJV,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-03-04,2024-02-20,2024-03-01,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,,,,
37,AMAZ,W41C250,37830.0,0.0,,CA,WALNUT,KELLY SPICERS,W41B076,2.0,JUS,P,25215.0,EPB0801975000P815-40,25220.0,20,IPHQPD12,,,0.0,,SWJV,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-03-01,2024-02-15,2024-02-15,2024-03-01,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,8.0,WALNUT,34.0202894,-117.8653386
38,AMAZ,W41C250,37830.0,0.0,,CA,WALNUT,KELLY SPICERS,W41B076,2.0,JUS,P,25215.0,EPB0801975000P815-40,25220.0,20,IPHQPD12,,,0.0,,SWJV,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-03-01,2024-02-15,2024-02-15,2024-03-01,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,18.0,WALNUT,34.0202894,-117.8653386
39,AMAZ,W41C250,37830.0,0.0,,CA,WALNUT,KELLY SPICERS,W41B250,1.0,JUS,P,16388.0,EPB0801975000P815-40,12610.0,10,IPHQPD12,,,0.0,,SWJV,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-03-01,2024-02-20,2024-02-20,2024-03-01,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,8.0,WALNUT,34.0202894,-117.8653386
40,AMAZ,W41C250,37830.0,0.0,,CA,WALNUT,KELLY SPICERS,W41B250,1.0,JUS,P,16388.0,EPB0801975000P815-40,12610.0,10,IPHQPD12,,,0.0,,SWJV,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-03-01,2024-02-20,2024-02-20,2024-03-01,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,18.0,WALNUT,34.0202894,-117.8653386
41,AMAZ,W41C353,8048.0,0.0,,CA,BENICIA,PAK WEST BENICIA WMS,W41B353,1.0,JZU,P,2773.76,EHB0551978000AM-40,2774.0,2,CMHQAA6A,,,0.0,,SWBE,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-02-28,2024-02-16,2024-02-24,2024-02-29,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,26.0,BENICIA,38.049365,-122.1585777
42,AMAZ,W41C353,8048.0,0.0,,CA,BENICIA,PAK WEST BENICIA WMS,W41B353,2.0,JZU,P,1434.16,EHB0701976500AM-40,1434.0,1,CMHQAA6A,,,0.0,,SWBE,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-02-29,2024-02-16,2024-02-24,2024-02-29,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,26.0,BENICIA,38.049365,-122.1585777
43,AMAZ,W41C353,8048.0,0.0,,CA,BENICIA,PAK WEST BENICIA WMS,W41B353,4.0,JZU,P,3840.0,EPB0802005000AM-40,3840.0,3,CMHQAA6A,,,0.0,,SWBE,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-03-04,2024-02-16,2024-02-24,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,26.0,BENICIA,38.049365,-122.1585777
44,AMAZ,W41C463,6305.0,0.0,09:00:00,AZ,PHOENIX,AMERICAN MACHINERY PACKAGING,W41A463,3.0,SV,F,6304.0,EHB0801975000AM-40,6305.0,5,AMRMT01,CPU,AMAZAA13,0.0,W41C463,SWCK,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,2024-03-04,2024-03-01,2024-01-31,2024-02-04,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,5.0,PHOENIX,33.4483771,-112.0740373
45,AMAZ,W41C463,6305.0,0.0,09:00:00,AZ,PHOENIX,AMERICAN MACHINERY PACKAGING,W41A463,3.0,SV,F,6304.0,EHB0801975000AM-40,6305.0,5,AMRMT01,CPU,AMAZAA13,0.0,W41C463,SWCK,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,2024-03-04,2024-03-01,2024-01-31,2024-02-04,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,15.0,PHOENIX,33.4483771,-112.0740373
46,AMAZ,W41D143,1068.0,406.65,13:00:00,OR,BEAVERTON,WINSTON COMPANY,W41B143,1.0,CY,P,-0.2,HLP115400450AM-64,1068.0,1,IPHQPD12,SAIA-IP,AMAZAA13,38.08,107721260500,SWJD,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,2024-03-04,2024-02-26,2024-02-12,2024-02-22,2024-02-26,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,27.0,BEAVERTON,45.4869283,-122.804032
47,AMAZ,W41D158,7552.0,500.0,13:00:00,AZ,NOGALES,SOUTHERNCARLSON -NOGALES,W41B158,4.0,CY,P,7552.0,EHB0802955000AM-20,7552.0,8,AMRMT01,NEON-AM,AMAZAA13,6.62,118273575,SWCK,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,2024-03-04,2024-03-03,2024-02-26,2024-02-26,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,195.0,NOGALES,31.3403775,-110.9342532
48,AMAZ,W41E237,13000.0,798.21,13:00:00,TX,EL PASO,SOUTHERNCARLSON-ELPASO,W41B237,1.0,CY,P,13002.0,EHB0551975000AM-60,13000.0,10,IPHQMK43,CHR-AM,AMAZAA13,6.14,107,SWCK,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,2024-03-05,2024-02-29,2024-02-23,2024-02-23,2024-02-29,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,28.0,EL PASO,31.7618778,-106.4850217
49,AMAZ,W42A076,3807.0,0.0,09:00:00,AZ,PHOENIX,PIONEER PACKAGING,W42A076,1.0,SV,F,3806.04,EHB1151973500AM-40,3807.0,3,IPAMMK0M,CPU,AMAZAA13,0.0,W42A076,SWCK,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,2024-03-04,2024-03-04,2024-02-16,2024-02-16,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,5.0,PHOENIX,33.4483771,-112.0740373
50,AMAZ,W42A076,3807.0,0.0,09:00:00,AZ,PHOENIX,PIONEER PACKAGING,W42A076,1.0,SV,F,3806.04,EHB1151973500AM-40,3807.0,3,IPAMMK0M,CPU,AMAZAA13,0.0,W42A076,SWCK,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,2024-03-04,2024-03-04,2024-02-16,2024-02-16,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,15.0,PHOENIX,33.4483771,-112.0740373
51,AMAZ,W42A089,10038.0,0.0,,CA,RANCHO CORDOVA,SUNRISE MANUFACTURING,W42A089,3.0,EV,P,10039.12,EHB0701976500AM-40,10038.0,7,IPAMMK0F,,,0.0,,SWBE,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-02-29,2024-03-01,2024-03-04,2024-02-29,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,29.0,RANCHO CORDOVA,38.5890723,-121.302728
52,AMAZ,W42A323,6400.0,0.0,,CA,FREMONT,KELLY SPICERS CA/FREMONT,W42A323,2.0,EV,P,6400.0,EPB0802005000P815-40,6400.0,5,IPAMMK0F,,,0.0,,SWBE,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-03-04,2024-03-01,2024-03-04,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,,,,
53,AMAZ,W42A479,14180.0,0.0,09:00:00,AZ,PHOENIX,ALLIED PACKAGING,W42A479,1.0,SV,F,14184.0,EHB0901975000AM-40,14180.0,10,AMRMT01,CPU,AMAZAA13,0.0,W42A479,SWCK,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,2024-03-04,2024-03-04,2024-03-15,2024-03-15,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,5.0,PHOENIX,33.4483771,-112.0740373
54,AMAZ,W42A479,14180.0,0.0,09:00:00,AZ,PHOENIX,ALLIED PACKAGING,W42A479,1.0,SV,F,14184.0,EHB0901975000AM-40,14180.0,10,AMRMT01,CPU,AMAZAA13,0.0,W42A479,SWCK,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,2024-03-04,2024-03-04,2024-03-15,2024-03-15,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,15.0,PHOENIX,33.4483771,-112.0740373
55,AMAZ,W42A565,2506.0,0.0,,AZ,PHOENIX,AMERICAN MACHINERY WORKS INC,W42A565,1.0,SV,F,7520.25,HSB0511601500AM-64,2506.0,2,IPAMMK0M,,,0.0,,SWCK,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-02-20,2024-02-29,2024-02-29,2024-02-28,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,5.0,PHOENIX,33.4483771,-112.0740373
56,AMAZ,W42A565,2506.0,0.0,,AZ,PHOENIX,AMERICAN MACHINERY WORKS INC,W42A565,1.0,SV,F,7520.25,HSB0511601500AM-64,2506.0,2,IPAMMK0M,,,0.0,,SWCK,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-02-20,2024-02-29,2024-02-29,2024-02-28,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,15.0,PHOENIX,33.4483771,-112.0740373
